City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed	Date (Readable)
ushuaia	75	AR	1556694000	60	-54.81	-68.31	4	7.2	01 May 2019 00:00:00 Pacific Daylight Time
yerbogachen	91	RU	1556695652	76	61.28	108.01	7.53	2.22	01 May 2019 00:27:32 Pacific Daylight Time
dikson	100	RU	1556695652	82	73.51	80.55	-10.48	10.04	01 May 2019 00:27:32 Pacific Daylight Time
rikitea	3	PF	1556695653	71	-23.12	-134.97	22.43	8.46	01 May 2019 00:27:33 Pacific Daylight Time
kysyl-syr	100	RU	1556695653	92	63.9	122.77	0.93	5.22	01 May 2019 00:27:33 Pacific Daylight Time
tuktoyaktuk	100	CA	1556695653	95	69.44	-133.03	0.53	7.29	01 May 2019 00:27:33 Pacific Daylight Time
tiksi	2	RU	1556695653	83	71.64	128.87	-9.88	2.88	01 May 2019 00:27:33 Pacific Daylight Time
san quintin	14	PH	1556695654	48	17.54	120.52	33.83	4.17	01 May 2019 00:27:34 Pacific Daylight Time
chuy	12	UY	1556695654	57	-33.69	-53.46	15.53	4.35	01 May 2019 00:27:34 Pacific Daylight Time
touros	40	BR	1556694000	94	-5.2	-35.46	25	1.5	01 May 2019 00:00:00 Pacific Daylight Time
poso	49	ID	1556695655	85	-1.4	120.75	22.03	1.86	01 May 2019 00:27:35 Pacific Daylight Time
clyde river	40	CA	1556694000	85	70.47	-68.59	-7	8.7	01 May 2019 00:00:00 Pacific Daylight Time
avarua	9	CK	1556694000	78	-21.21	-159.78	26	9.8	01 May 2019 00:00:00 Pacific Daylight Time
carnarvon	0	ZA	1556695655	44	-30.97	22.13	14.53	2.15	01 May 2019 00:27:35 Pacific Daylight Time
puerto escondido	0	MX	1556695656	68	15.86	-97.07	27.03	1.23	01 May 2019 00:27:36 Pacific Daylight Time
podgornoye	99	RU	1556695656	61	57.79	82.64	-2.48	5.89	01 May 2019 00:27:36 Pacific Daylight Time
hermanus	19	ZA	1556695007	93	-34.42	19.24	16.67	0.89	01 May 2019 00:16:47 Pacific Daylight Time
busselton	68	AU	1556695654	30	-33.64	115.35	17.22	4.97	01 May 2019 00:27:34 Pacific Daylight Time
punta arenas	40	CL	1556695387	73	-53.16	-70.91	1	4.1	01 May 2019 00:23:07 Pacific Daylight Time
butaritari	53	KI	1556695657	81	3.07	172.79	28.83	5.93	01 May 2019 00:27:37 Pacific Daylight Time
bluff	8	AU	1556695658	45	-23.58	149.07	27.63	6.96	01 May 2019 00:27:38 Pacific Daylight Time
sarh	0	TD	1556694000	48	9.14	18.39	29	3.1	01 May 2019 00:00:00 Pacific Daylight Time
cape town	90	ZA	1556695368	100	-33.93	18.42	16.67	0.5	01 May 2019 00:22:48 Pacific Daylight Time
mataura	45	NZ	1556695214	78	-46.19	168.86	13.89	3.15	01 May 2019 00:20:14 Pacific Daylight Time
albany	90	US	1556695536	81	42.65	-73.75	6.11	0.35	01 May 2019 00:25:36 Pacific Daylight Time
hirara	75	JP	1556694000	83	24.8	125.28	23	5.1	01 May 2019 00:00:00 Pacific Daylight Time
berlevag	100	NO	1556695659	65	70.86	29.09	-0.98	7.26	01 May 2019 00:27:39 Pacific Daylight Time
houma	28	CN	1556695660	21	35.63	111.36	23.43	6.27	01 May 2019 00:27:40 Pacific Daylight Time
upernavik	7	GL	1556695660	78	72.79	-56.15	1.13	2.53	01 May 2019 00:27:40 Pacific Daylight Time
